Crop_Type,Soil_pH,Rainfall,Temperature,Fertilizer_Use,Yield,Water_Efficiency,Soil_pH_Category,Rainfall_Category,Water_Usage_Estimate,Irrigation,Year
Sugarcane,7.4,376,39,70,2.07,0.005505319,Neutral,Low,Low,Flood,1980
Oats,5.1,1937,21,82,3.45,0.001781105,Acidic,High,High,Sprinkler,1980
Cotton,4.5,1569,39,51,4.94,0.003148502,Acidic,High,High,Drip,1980
Oats,6.6,938,23,43,5.74,0.006119403,Neutral,Medium,Medium,Sprinkler,1981
Oats,4.8,1881,37,113,3.63,0.001929825,Acidic,High,High,Sprinkler,1982
Barley,7.5,1774,33,54,5.42,0.003055242,Neutral,High,High,Sprinkler,1980
Corn,6.3,1711,38,79,2.55,0.001490357,Neutral,High,High,Drip,1980
Corn,5.9,1448,22,65,2.33,0.001609116,Neutral,High,High,Drip,1981
Soybean,6.4,1042,36,91,5.26,0.005047985,Neutral,High,High,Sprinkler,1980
Sugarcane,6.7,1376,23,71,4.95,0.003597384,Neutral,High,High,Flood,1981
Sugarcane,7.4,1092,23,120,5.89,0.005393773,Neutral,High,High,Flood,1982
Peanut,6.4,1370,23,90,2.52,0.001839416,Neutral,High,High,Drip,1980
Millet,6.7,864,20,108,2.09,0.002418981,Neutral,Medium,Medium,Sprinkler,1980
Corn,5.8,1210,23,65,2.74,0.002264463,Neutral,High,High,Drip,1982
Barley,6.7,477,29,104,2.3,0.004821803,Neutral,Low,Low,Sprinkler,1981
Sorghum,6.2,1327,20,58,2.88,0.002170309,Neutral,High,High,Drip,1980
Sorghum,7.3,310,37,53,5.45,0.017580645,Neutral,Low,Low,Drip,1981
Maize,7.7,1896,37,106,4.09,0.002157173,Alkaline,High,High,Drip,1980
Peanut,5.1,1076,35,116,4.04,0.003754647,Acidic,High,High,Drip,1981
Peanut,5,1159,39,98,5.75,0.004961173,Acidic,High,High,Drip,1982
Barley,5.5,1179,20,64,4.95,0.004198473,Acidic,High,High,Sprinkler,1982
Soybean,4.7,1798,27,58,4.15,0.00230812,Acidic,High,High,Sprinkler,1981
Wheat,5.2,907,32,106,2.92,0.003219405,Acidic,Medium,Medium,Sprinkler,1980
Sugarcane,5,1590,32,81,3.91,0.002459119,Acidic,High,High,Flood,1983
Rice,6,566,40,65,4.86,0.008586572,Neutral,Medium,Medium,Flood,1980
Oats,6.4,704,23,106,4.3,0.006107955,Neutral,Medium,Medium,Sprinkler,1983
Peanut,6.8,875,36,48,5.65,0.006457143,Neutral,Medium,Medium,Drip,1983
Oats,7.2,472,27,109,4.67,0.009894068,Neutral,Low,Low,Sprinkler,1984
Peanut,6.7,1167,27,118,5.18,0.004438732,Neutral,High,High,Drip,1984
Millet,7.6,1335,35,46,5.63,0.004217228,Alkaline,High,High,Sprinkler,1981
Sorghum,6,1303,23,113,3.53,0.002709133,Neutral,High,High,Drip,1982
Peanut,7.9,574,21,57,5.05,0.008797909,Alkaline,Medium,Medium,Drip,1985
Wheat,6.6,1748,39,87,3.18,0.001819222,Neutral,High,High,Sprinkler,1981
Cotton,6.9,1494,26,79,5.33,0.003567604,Neutral,High,High,Drip,1981
Cotton,4.8,1255,28,49,5.79,0.004613546,Acidic,High,High,Drip,1982
Oats,6.4,1278,38,66,3.62,0.002832551,Neutral,High,High,Sprinkler,1985
Peanut,6,1882,39,32,5.04,0.002678002,Neutral,High,High,Drip,1986
